Title,Territory,Type,Year,Category,To,From,Content,Link to Content
"MO :: Section 4, Chapter 2 (Placements), Subsection 4 – Therapeutic Foster Care Placements :: 2.4.1 Referral Process",Missouri,Rules,"2023, 2022, 2021","Administrative process, Placement, Services while in care - Mental Health, Services while in care - Therapies (not mental health)",,,"Children referred to the program shall be between the ages of 6-20 and demonstrate behavior which indicates the need for an intensive and individualized therapeutic intervention. If the decision is made that therapeutic foster care (TFC) can best meet the child’s clinical needs, referrals to the TFC program shall follow these guidelines: The case manager must assess the child’s need, via completion of the Residential and Specialized Placement Referral (CS-9), for therapeutic foster care. If other services are needed, involve the Department of Mental Health (DMH): Division of Comprehensive Psychiatric Services (CPS)/Division of Developmental Disabilities (DDD) at this time to maximize interagency expertise and financial participation. The FST shall assess the child’s needs and devise the treatment plan: Because placement should always be in the least restrictive setting, efforts should be made to place a child with a relative home, traditional foster home, or an elevated needs home prior to referral to TFC. Collateral documentation of behavior or other factors that indicate a need for therapeutic foster care services should be provided. The treatment plan must include strategies to allow for the child to remain “connected” to his/her family, kin, community, etc. Connection to the community must be an integral part of the treatment plan for older youth who have a permanency plan of independent living. Submit the following materials to the RCST Coordinator when the child has met the above criteria. The family, community members, or others who know the child can help with providing this material: Completed CS-9 that includes the CSPI: Social history or psychosocial assessment or court assessment completed within last 60 days Current case plan (CS-1) Current school report/grade level and any applicable records. For children with special education requirements, current Individualized Education Plan (IEP) and educational diagnostic assessment Medical history Immunization record Court orders and petitions Criminal history Psychological/psychiatric evaluation, and For any youth age 16 and over, include CS-3 Life Skills Inventory, Daniel Memorial Life Skills Inventory, or CS-1 Attachment. The case manager, supervisor, and RCST Coordinator will share information about the referral, discussion of possible placement resources, the urgency of need for placement, and other relevant information. The RCST Coordinator will screen the referral and, if appropriate, will notify the case manager by email if the child is approved for TFC.  The case manager shall begin the process of identifying a TFC placement. Once a TFC home is identified the case manager will notify the RCST.   The RCST will determine the initial treatment period, not to exceed 6 months and authorize all items on the service authorization.  The TFC provider in collaboration with the case manager shall set up a meeting to review the progress on the child’s individual treatment plan and discuss the discharge/transition plan no later than five months from the date of the child’s placement in the TFC home.   In order to prepare for child’s discharge/transition, a review shall be conducted by the RCST or other Department designee at the end of five months to ensure a successful transition.   If additional time is requested, the TFC provider and case manager shall seek authorization from the RCST or other Department designee to keep the child in the current TFC program.  The request shall specify the clinical and behavioral need(s) for extending the placement and shall identify specific treatment interventions and services that will be provided to meet the child’s treatment needs. Additionally, the RCST Coordinators will verify a child’s REHAB-RT eligibility prior to entering any service authorization for TFC. If the RCST Coordinator determines that an otherwise REHAB eligible youth has not had eligibility established in the FACES system, they will immediately contact the child’s case manager and/or supervisor. Service authorizations for TFC treatment services are not to be entered without verification that the FACES system indicates the child’s eligibility. Carry out any of the following actions as appropriate to the RCST Coordinator’s decision or recommendations: Advise court and develop alternative treatment and/or case plan if the referral is determined inappropriate or if other options for placement have been suggested. Coordinate all planning if county of current placement is different from county of jurisdiction. Case manger begins search for TFC home placement Notify the RCST Coordinator and TFC Coordinator in writing when TFC placement has been secured, providing name of TFC home, or if TFC home is no longer needed. Written notification should be made in all instances of placement or withdrawal of placement request. RCST will authorize the TFC placement service. Receive notification from provider of date for pre-placement interview visit. Proceed with placement preparation including the following: Prepare the child and parents for change in placement. Provide information about the facility, location, special programs, visitation arrangements, etc. Assess clothing needs and seek approval for expenditure if clothing is needed. Arrange dental and medical examination within 30 days prior to actual placement, if provider requires more recent medical report. Assure the child’s arrival at the facility on the date arranged for entry. Update the AC Client Information screen to denote a new placement. Complete a payment request if any special expenses are needed, have been approved, and are not included in the residential treatment contract. Update the AC Client Information screen to remove maintenance for any child entering a residential treatment agency. Provide any needed placement support services consistent with the CS-1 including services to the parents: Receive progress reports from the provider. The initial evaluation and plan of care should be in compliance with the FST plan, or if different, the reasons for any change must be documented. Determine what needs to occur to facilitate the child’s return to family or to another permanent placement in the community, coordinating and planning with the parent(s) and using recommendations of provider and the RCST Coordinator. Representatives of the treatment provider must be invited to attend the FST meeting. The treatment facility staffing can be combined with FST when appropriate as treatment goals, modality, and progress of child and family should be relevant discussion for members of both groups. Often the team members are the same for both meetings. Notify the RCST Coordinator in writing, immediately, of any child removed from an authorized placement. Include the date of discharge and identification of the present placement resource. Integrate the content of progress reports into services to the parents, FSTs, case plan development, reports to court, etc. The family may be included in therapeutic services provided to the child. Receive written notification from the RCST Coordinator at least 60 days prior to expiration date of treatment authorization. Receive notification from the provider at least 30 days prior to planned discharge of the child. If the FST has determined that the child and family are to be reunited, this plan shall be put into place. The TFC contractor, through therapeutic intervention with the youth and family, as well as working with the assigned case manager, shall identify necessary systems to support the family and youth during reunification. The case manager and other members of the FST will assure these supports are available to the family and youth as the goal of reunification is put into place. If the FST determines that return to the family or to another family setting is not appropriate, the case manager will: Submit recommendations to the RCST Coordinator regarding child’s continued need for treatment as soon as possible. The case-manager shall continue to determine what needs to occur to facilitate the child’s return to family or to another permanent placement in the community, coordinating and planning with the parent(s) and using recommendations of provider and the RCST Coordinator. The case manager shall continue to utilize this needs list to develop the treatment plan to be implemented by the case manager and the TFC contractor. If it appears the child will be unable to return to family of origin, the FST, with the involvement of the child and family shall develop alternate plans for the child using concurrent planning and meeting the Court and ASFA time lines. The child and his family shall be encouraged to locate relative placements or other permanent placements that will allow the child to remain involved with his/her family of origin, even if it is not realistic for the youth to be reunited with his/her family. Provide transitional services when the child returns to own family. If the child is unable to return to his/her family of origin, transitional services are provided as appropriate to meet the child’s needs and permanency plan.",https://fostercaresystems.wustl.edu/foster/mo-section-4-chapter-2-placements-subsection-4-therapeutic-foster-care-placements-241
"MO :: Section 6, Chapter 7 (Children’s Division’s Appeal Processes), Subsection 1, – (Children’s Division’s Fair Hearing Process) :: 7.1.1  Homes Developed and or Maintained by Contractors",Missouri,Rules,2023,"Contact and directory information, Foster parent licensing",,,"The Children’s Division is the licensing entity for Missouri resource provider homes. The Children’s Division contracts with private agencies to develop resource homes. The private agency developing and or maintaining a resource home makes one of the following recommendations to the Children’s Division: License or approve a home; Deny issuance of a license or approval of a home they are developing; Revoke a current open license or approval of a resource home they are maintaining. The Children’s Division makes the determination of the recommendation. Memoranda History: CD07-15 , CD07-52 , CD07-55 , CD07-73 , CD08-98 , CD10-110 , CD11-69 , CD11-107 , CD12-36 , CD15-33, CD17-42",https://fostercaresystems.wustl.edu/foster/mo-section-6-chapter-7-childrens-divisions-appeal-processes-subsection-1-childrens-0
"MO :: Section 8, Chapter 2 (Personnel), Subsection 1 – Conflict of Interest and Preferential Treatment :: 2.1   Conflict Of Interest And Preferential Treatment",Missouri,Rules,"2023, 2022, 2020, 2019",Administrative process,,,"The Children’s Division prohibits the steering of or directing referrals of persons served by the Division to a private practice or contracted provider, in which the personnel, consultants or the immediate relatives of CD employees or past CD employees are engaged. This policy is put forth to avoid the appearance of a conflict of interest.  It is permissible to include such personnel, consultants and their agencies on referral lists, but no referral shall be made exclusively due to current or past personal relationships The Children’s Division prohibits preferential treatment of members of designated authorities with policymaking functions, advisory boards, personnel, private practices, contracted providers or consultants in applying for and receiving the Children’s Division services. Related Subjects: DSS Administrative Manual Sections, 2-120-Code of Conduct, 2-105-Employment of Relatives, 2-500-Conflict of Interest and 2-503 Political Activities (Employee Access Only)",https://fostercaresystems.wustl.edu/foster/mo-section-8-chapter-2-personnel-subsection-1-conflict-interest-and-preferential-treatment
INTRODUCTION TO TRAUMA WEBINAR,Missouri,Memo,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013","Administrative process, Definitions, Services while in care - Mental Health","REGIONAL EXECUTIVE STAFF, CIRCUIT MANAGERS, AND CHILDREN’S DIVISION STAFF","CANDACE A. SHIVELY, DIRECTOR","DISCUSSION: The purpose of this memorandum is to share a new video resource entitled “Introduction to Trauma”. This thirty minute webinar, presented by Dr. Patsy Carter, Missouri Department of Mental Health, will introduce viewers to the definition and prevalence of trauma, as well as examine the social, biological, and health impact. The video can serve as a great resource for agency staff, foster parents, contracted staff and community partners who are interested in learning more about how trauma can impact families. The webinar qualifies as CA/N 210 training credit for agency staff and is also pre-approved as thirty minutes of in-service training for foster parents. Staff should complete the request for training credit form at the following link: http://dssweb/cs/training/210info/210reqtrain20091.pdf The completed form should be submitted via email to the attention of Jeff Adams, Training Coordinator, Professional Development and Training. For foster parent training credit entry, staff should follow local procedures and use the foster parent in-service training code 299 (Other approved in-service training) and enter the class name in the system. The video presentation may be accessed at the following links: http://www.mimhtraining.com/2013/02/26/introduction-to-trauma/ http://www.youtube.com/watch?v=NiukSviRnuI&feature=player_embedded NECESSARY ACTION Review this memorandum with all Children’s Division staff. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT PROGRAM MANAGER Jeff Adams 314 416-2781. Jeff.L.Adams@dss.mo.go v CHILD WELFARE MANUAL REVISIONS N/A FORMS AND INSTRUCTIONS N/A REFERENCE DOCUMENTS AND RESOURCES N/A RELATED STATUTE N/A ADMINISTRATIVE RULE N/A COUNCIL ON ACCREDITATION (COA) STANDARDS N/A CHILD AND FAMILY SERVICES REVIEW (CFSR) N/A PROTECTIVE FACTORS Parental Resilience Social Connections Knowledge of Parenting and Child Development Concrete Support in Times of Need Social and Emotional Competence of Children FACES REQUIREMENTS N/A",https://fostercaresystems.wustl.edu/foster/introduction-trauma-webinar
"Mandatory Review of Psychotropic Medication, Secondary Review of Psychotropic Medication, Automatic Review of Psychotropic Medication, and Denial Notification Letter ofCenter for Excellence Findings, CD-280.",Missouri,Memo,,Services while in care - Mental Health,CHILDREN’S DIVISION AND CONTRACTED STAFF,"REGINALD MCELHANNON, INTERIM DIRECTOR","DISCUSSION: The purpose of this memorandum is to introduce Mandatory Reviews, discuss Secondary and Automatic Reviews of Psychotropic Medication, and notify staff of a new form, the Denial Notification Letter of Center for Excellence Findings, CD-280. There are new types of clinical consultation reviews that will be necessary to complete in order for case managers to make the best informed consent decisions for children in alternative care and to ensure that their medical/mental health needs are being addressed appropriately. The Center for Excellence in CHILD Well-Being (The Center) is serving as the Statewide Clinical Consultant who completes Mandatory, Secondary, and Automatic Reviews. Staff may be familiar with Secondary and Automatic Reviews, discussed more fully below, but Mandatory Reviews are now required in certain specific instances BEFORE informed consent may be given for administration of a psychotropic medication. Mandatory Review BEFORE informed consent for psychotropic medications may be given, CD shall determine if a mandatory review by the Statewide Clinical Consultant (The Center) is required. A mandatory review is required in the following instances: Before a child age three (3) or younger is prescribed any psychotropic medication For a child age four (4) or older: Before starting a 3rd (or more) psychotropic medication; Before starting a 2nd (or more) antipsychotic; Before a psychotropic medication is started by a second prescriber; Before starting a psychotropic medication that exceeds dosage guidelines Referrals for Mandatory Reviews shall be made by the Health Information Specialist (HIS) to The Center as soon as practicable. The case manager needs to make contact with the HIS as soon as possible upon receiving a recommendation for psychotropic medication to notify the HIS to request a referral for a mandatory review. Consent cannot be given or medication administered until after the recommendations and findings of the mandatory review are received and considered by the case manager. Secondary Review A referral for a secondary review shall be submitted to The Center if any of the following occur: The case manager has concerns about psychotropic medications being prescribed, or any other recommended physical or behavioral health intervention. The parent or child disagrees with a case manager’s informed consent decision. Other members of the child’s FST, including the child’s GAL or CASA, the child’s resource provider, or the Juvenile Officer have submitted a request to CD to refer the case for secondary review of the child’s psychotropic medications or any other recommended physical or behavioral health intervention. Case managers shall ensure that all such requests are referred for secondary review, except that CD may, in its discretion, decline to perform more than one (1) review for a child within the same sixty (60) day period. The HIS will make the referral to The Center. The case manager needs to make contact with the HIS as soon as possible once a decision has been made that a secondary review is necessary based upon the criteria listed above, clearly documenting why the review is being requested. The online referral form shall be submitted within five (5) business days. Medical records to include in the referral: current diagnosis, prescriber notes, current medication list including dose and frequency, lab results, psychiatric evaluation, therapy reports and other records related to the child’s behavior or diagnosis. The Center shall, within five (5) business days of receiving the request for consultation, review the pending prescription and provide an opinion and recommendation as to the appropriateness and timing of the prescription (including but not limited to whether the child should begin taking the proposed medication immediately). Documentation of the request and the recommendation shall be included in the child’s case record. The individual authorized to provide informed consent shall consider the recommendation and collaborate with the prescriber if necessary prior to providing an informed consent decision. The findings and recommendations of The Center shall be provided to the child’s parent or legal guardian; the individual authorized to provide informed consent for the medication (if an alternative consenter has been appointed by the court), child’s resource provider, and any other person or entity authorized to receive the recommendation by order of the court. The findings and recommendations of The Center may be provided to other individuals as determined appropriate, who would include: GAL, CASA, other members of the FST, and medical providers. If a parent or child does not agree with the recommendation from The Center, the parent or child may: Within five (5) business days, initiate a service delivery grievance, or At any time, file an appropriate motion with the juvenile court If The Center has recommended immediate administration of a psychotropic medication, the case manager may follow that recommendation, regardless of any pending service delivery grievance or juvenile court motion filed by the parent. If The Center recommends that immediate administration of a psychotropic is NOT REQUIRED, the case manager will not consent to the medication until any service delivery grievance or juvenile court motion has been resolved. Automatic Reviews Staff will be notified when a child’s case has been identified for automatic review by The Center. These reviews will be completed on a quarterly basis for cases meeting identified criteria. The case manager shall have ten (10) business days from the date of receiving notice to collect the materials or documents that The Center requests to complete the review. The Center has five (5) business days to complete the review process. Denial Notification Letter of Center for Excellence Findings, CD-280 After a review is completed by The Center, the findings and recommendations are provided to the case manager. In the event that CD declines to share the findings and recommendations of The Center with the child’s parent or legal guardian, CD shall notify the individual in writing of the reason for denial using the Denial Notification Letter of Center for Excellence Findings, CD280. CD may only decline to share the findings and recommendation if at least one of the following criteria applies: The Court has entered an order limiting access to certain information about the child; Sharing information is not in the best interest of the child or could endanger the health, safety, and welfare of the child or another person; Sharing the information may interfere with a child abuse, child neglect, or a child investigation; or Providing information is contrary to law. The CD-280 will explain the individual’s right to seek a review by completing a service delivery grievance of that decision or to file an appropriate motion with a juvenile court. The Denial Notification Letter of Center for Excellence Findings, CD-280, as well as the Spanish version, can be accessed through E-Forms located on CD intranet. Questions regarding the Psychotropic Medication Settlement Agreement can be sent to PsyMedSettle@dss.mo.gov . NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT Larry Smith Program Development Specialist 573-522-8303 Larry.K.Smith@dss.mo.gov MANAGER CONTACT Stacie Frueh, MSW Health Specialist Coordinator 573-341-1668 Stacie.A.Frueh@dss.mo.gov CHILD WELFARE MANUAL REVISIONS FORMS AND INSTRUCTIONS Denial Notification Letter of Center For Excellence Findings, CD-280 REFERENCE DOCUMENTS AND RESOURCES Practice Point for Mandatory Reviews RELATED STATUTE N/A",https://fostercaresystems.wustl.edu/foster/mandatory-review-psychotropic-medication-secondary-review-psychotropic-medication-automatic
CLARIFICATIONS OF RELATIVE OR KINSHIP POLICY,Missouri,Memo,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011","Foster parent licensing, Kinship","REGIONAL EXECUTIVE STAFF, CIRCUIT MANAGERS, AND CHILDREN’S DIVISION STAFF","CANDACE A. SHIVELY, DIRECTOR","DISCUSSION: Relative or Kinship Care policy is located in Section 4 Chapter 12 of the Child Welfare Manual. Language in this section of policy has been revised to support data entry in FACES. Current transportation policy, Section 4 Chapter 11 Attachment C, allows for reimbursement to relative and kinship providers for allowable child specific transportation. Policy clarification has been made in Section 4 Chapter 12 Subsection 4 to include transportation reimbursement in the Relative and Kinship section of policy. Policy requires all licensed resource homes to complete 30 hours of in-service training before their license may be renewed. Level B resource homes are required to complete 32 hours. Relative homes, RH, may use the relative non-safety standard waiver and not complete the 30 hours in-service training for their RH license to be renewed. However, if they do not complete the required 30 hours of training, they are not eligible for the $100.00 Professional Parenting Payment, PPMN. Their Cooperative Agreement CM-14 must be closed and the Cooperative Agreement CM-3 opened. Policy language clarification has been made in Section 4 Chapter 12 Subsection 5. NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT Elizabeth Tattershall 573-522-1191 Elizabeth.Tattershall@dss.mo.gov PROGRAM MANAGER Dena Driver 573-751-3171 Dena.D.Driver@dss.mo.gov CHILD WELFARE MANUAL REVISIONS Out-of-Home-Care, Relative or Kinship Care FORMS AND INSTRUCTIONS N/A REFERENCE DOCUMENTS and RESOURCES Out-of-Home-Care, Financial Support Planning, 4.11.C RELATED STATUTE N/A ADMINISTRATIVE RULE Foster Home Licensing Rule, 13 CSR 35-65.030 (1) Minimum Qualifications of Foster Parent(s), Foster Parent Training COUNCIL ON ACCREDITATION (COA) STANDARDS PA-FC 16.03 CHILD AND FAMILY SERVICES REVIEW (CFSR) N/A PROTECTIVE FACTORS N/A Parental Resilience Social Connections Knowledge of Parenting and Child Development Concrete Support in Times of Need Social and Emotional Competence of Children FACES REQUIREMENTS N/A",https://fostercaresystems.wustl.edu/foster/clarifications-relative-or-kinship-policy
MEDICAL RECORD FEES,Missouri,Memo,"2024, 2023, 2022, 2021, 2020","Administrative process, Services while in care - Medical",CHILDREN’S DIVISION AND CONTRACTED STAFF,"DAVID WOOD, DIRECTOR","The purpose of this memorandum is to inform staff of a change in the maximum reimbursement rates for medical records. The maximum reimbursement rates for paying providers for medical records were changed effective February 1, 2020. The new amounts are: A copying fee of $26.06 and $0.60 cents per page for the cost of supplies and labor for copies in paper form An additional fee of $24.40 if records are maintained off-site Copies provided electronically (e.g. disc, fax, email) have a maximum copying fee of $114.17 total, whichever is less Postage to include packaging and delivery cost Section 191.227 of the Revised Statutes of Missouri sets a base rate for the maximum costs of copying records. The law requires the Missouri Department of Health and Senior Services (DHSS) to determine the amounts each year. The new rate information is available on their website at: http://health.mo.gov/atoz/fees.php When Children’s Division staff request and receive medical records from providers, all invoices for payment for those records must be submitted via Payment Request. Specific instructions for completing the Payment Request are provided in the FACES Financial System Payment Handbook. https://dssintranet.mo.gov/dfas/wp- content/uploads/sites/26/2020/07/FACESQuickReferenceforPayments.pdf Effective immediately, provider charges shall not exceed these maximums for services provided on or after February 1, 2020. NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT Cari Pointer Cari.A.Pointer@dss.mo.gov MANAGER CONTACT Kara Wilcox Kara.B.Wilcox-Bauer@dss.mo.gov CHILD WELFARE MANUAL REVISIONS Section 8, Chapter 7.2.12 Paying for Medical Records https://dssmanuals.mo.gov/child-welfare-manual/section-8-chapter-7-contracted- services-subsection-2-childrens-treatment-services-cts/ FORMS AND INSTRUCTIONS NA REFERENCE DOCUMENTS AND RESOURCES NA RELATED STATUTE Section 191.227 RSMo.",https://fostercaresystems.wustl.edu/foster/medical-record-fees
CHILDREN’S TREATMENT SERVICES,Missouri,Memo,"2024, 2023, 2022, 2021, 2020","Administrative process, Contracting with private organizations, Services while in care - Mental Health, Services while in care - Other",CHILDREN’S DIVISION AND CONTRACTED STAFF,"REGGIE MCELHANNON, INTERIM DIRECTOR","The purpose of this memorandum is to inform all Children’s Division staff of the release of the FY20 Children’s Treatment Services Contract and highlight several changes. With the FY20 contract three (3) new service descriptions were added. They are: Specialized Clinical Assessment/Psycho-Sexual Evaluation: Is a specialized clinical assessment of adult and juvenile sex offenders, which are also referred to as a psycho-sexual evaluation. Generally they are court ordered to determine one of the following: Risk of repeat behavior; Interventions; Specific risk factors; Client’s willingness to participate in recommended treatments and/or interventions; Identifying factors that may prevent engagement in treatment and/or interventions; or Identifying strengths and protective factors. Transportation: This services shall be utilized in direct alignment with the treatment plan goals as identified in Family Support Team (FST) meetings. Transportation for a parent(s) will assist in accessing community resources to alleviate the need for an open Family Center Services or Alternative Care case. This transportation code alleviates the need to utilize the Service Delivery Coordination (SDCR) code for transportation needs. Transportation (Behavioral): This transportation code is for youth who are a danger to themselves and/or others. If restraints are required to transport a youth, CD will then obtain written approval from the court. Additional changes to the Catalog of Services: Parent Aide maximum number of units allowed decreased from forty (40) to twenty (20) Drug testing 5 Panel Urine code changed from DRUG to DU05 The Invitation for Bid and the Attachment A Catalog of Services can be found on the website at http://dss.mo.gov/bids/ . The Child Welfare Manual has been updated in the sections below to reflect these changes. It is noted that the policy for transporting children with a restraint shall be approved by the court under all circumstances. NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT PDS Name: Nancy L. Reid PDS Number: 573-522-2316 PDS E-mail: nancy.l.reid@dss.mo.gov MANAGER CONTACT Manager’s Name: Tasha Toebben Manager’s Number: 573-526-3899 Manager’s E-mail: Tasha.Toebben@dss.mo.gov CHILD WELFARE MANUAL REVISIONS Section 8, Chapter 7, Subsection 2: Children’s Treatment Services Section 4, Chapter 4, Overview FORMS AND INSTRUCTIONS N/A REFERENCE DOCUMENTS AND RESOURCES CTS Invitation for Bid and Catalog of Services can be found at http://dss.mo.gov/bids/ RELATED STATUTE N/A",https://fostercaresystems.wustl.edu/foster/childrens-treatment-services
MEDICAL SERVICES AUTHORIZATION INFORMATION LETTER,Missouri,Memo,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014","Forms - Other, Services while in care - Medical, Services while in care - Mental Health","REGIONAL DIRECTORS, FIELD SUPPORT MANAGERS, CIRCUIT MANAGERS, SPECIALISTS AND SUPERVISORS","TIM DECKER, DIRECTOR","DISCUSSION: The Children’s Division (CD) participates in the development and implementation of coordinated social and health services including preventive, on-going and long-term medical and mental health care for children placed in the legal custody of the Children’s Division. Services for medical and mental health needs of foster youth must be provided by service providers who are enrolled in the state Medicaid plan, MOHealthnet or MOHealthNet Managed Care. If medical service providers who are not enrolled with MO HealthNet or a MO HealthNet Managed Care Plan are used for a foster youth, the resource provider may have to pay for the services out-of-pocket. Any invoice or paid receipt received by the resource provider for services provided to a foster youth in their home must be submitted to the foster youth’s case manager immediately. Any reimbursement to the resource provider will be from Children’s Treatment Services (CTS) funds. The purpose of this memorandum is to introduce a new form, Medical Services Authorization Information Letter, CD-27. The purpose of the CD-27 is to assist resource providers seeking medical services for foster youth from service providers who are not enrolled with MO HealthNet or a MO HealthNet Managed Care Plan. In the event that a resource parent uses a medical or mental health provider who is not enrolled with MO HealthNet or a MO HealthNet Managed Care Plan the CD-27 must be presented prior to the foster youth receiving services. If a resource family makes plans to travel out of state with a foster youth(s) placed in the home, the foster youth(s) case manager should provide the resource parent with a CD27. The worker should explain the reimbursement review process when a resource provider receives an invoice or has a paid receipt and letter from the medical provider, if applicable, for medical services provided to a foster youth placed in their home. NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. Review new Children’s Division form. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT Elizabeth Tattershall 573-522-1191 Elizabeth.Tattershall@dss.mo.gov PROGRAM MANAGER Amy Martin 573-751-3171 Amy.L.Martin@dss.mo.gov CHILD WELFARE MANUAL REVISIONS Section 4 Chapter 6 subsection 1 Section 1 Chapter 3 Subsection 3 Section 4 Chapter 24 Subsection 3 Section 4 Chapter 30 Subsection 4 FORMS AND INSTRUCTIONS Employee Access Only on CD Desk Top Medical Services Authorization Information Letter, CD-27 REFERENCE DOCUMENTS AND RESOURCES N/A RELATED STATUTE N/A ADMINISTRATIVE RULE N/A COUNCIL ON ACCREDITATION (COA) STANDARDS (List or put N/A if not applicable.) CHILD AND FAMILY SERVICES REVIEW (CFSR) N/A PROTECTIVE FACTORS N/A Parental Resilience Social Connections Knowledge of Parenting and Child Development Concrete Support in Times of Need Social and Emotional Competence of Children FACES REQUIREMENTS N/A",https://fostercaresystems.wustl.edu/foster/medical-services-authorization-information-letter
RESOURCE PROVIDER HOME ASSESSMENT UPDATES AND  CHANGE REPORTING,Missouri,Memo,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010","Administrative process, Foster parent licensing","REGIONAL EXECUTIVE STAFF, CIRCUIT MANAGERS, AND CHILDREN’S DIVISION STAFF","PAULA NEESE, DIRECTOR","DISCUSSION: The purpose of this memorandum is to provide policy clarification regarding Council on Accreditation, COA, requirements for updates of home assessments of resource providers. COA requires that home assessments are updated within two weeks of a reported change in the home composition and at least once annually. The Children’s Division is currently in compliance with this requirement: Section 6 Chapter 3 Subsection 1 addresses updates within two weeks of a reported changed, and Section 5 Chapter 1 Subsection 6 addresses quarterly visits and summaries. To support policy, the quarterly summaries are now required to be attached to the home assessment. The quarterly summaries for the new licensure period are to be attached to the amended home assessment providing ease in verifying compliance with policy and the COA requirement. At license renewal the home assessment is amended to reflect any changes in the household including but not limited to: Individuals who move in or out of the home, Death or debilitating illness of a caregiver; Structural defects in the home related to fire, flood, or natural disaster, or Legal proceedings affecting the family such as eviction or divorce. Policy provides a template for the required format of the home assessment and the subsequent renewal assessment. This format is to be followed as specified to provide consistency statewide. If the court requires specific information in the home assessment or requires designated forms to complete, staff should be compliant with the court. Policy has been revised to include a time frame in which the resource provider must report changes. The resource provider shall notify the Division within two weeks of any pertinent conditions, problems or major family changes per Foster Home Licensing administrative rule 13 CSR 35-60.050 (1) (B). NECESSARY ACTION Review this memorandum with all Children’s Division staff. Review revised Child Welfare Manual chapters as indicated below. All questions should be cleared through normal supervisory channels and directed to: PDS CONTACT Elizabeth Tattershall 573-522-1191 Elizabeth.Tattershall@dss.mo.gov PROGRAM MANAGER Dena Driver 573-751-3171 Dena.D.Driver@dss.mo.gov CHILD WELFARE MANUAL REVISIONS Responsibilities of Placement Resource, Section 1 Chapter 3 Subsection 3 Foster Parent Job Description, Section 6 Chapter 1 Attachment A FORMS AND INSTRUCTIONS N/A REFERENCE DOCUMENTS AND RESOURCES N/A RELATED STATUTE 210.506 210.542 ADMINISTRATIVE RULE Minimum Qualifications of Foster Parent(s), 13 CSR 35-60.030(6), (7), and (8) COUNCIL ON ACCREDITATION (COA) STANDARDS PA-FC 17: Homestudies PA-KC 2: Assessment CHILD AND FAMILY SERVICES REVIEW (CFSR) N/A PROTECTIVE FACTORS N/A Parental Resilience Social Connections Knowledge of Parenting and Child Development Concrete Support in Times of Need Social and Emotional Competence of Children FACES REQUIREMENTS N/A",https://fostercaresystems.wustl.edu/foster/resource-provider-home-assessment-updates-and-change-reporting
